"Your_Fund","Fund_Investment","Your_Fund_Percent","Company","Initial_Investment_Year","Initial_Inv_Qtr_End_Date","Stage_of_First_Investment","Current_Stage","Industry","Geography","As_Of_Date","YF_Currency","Unrealized_Cost_YF_Cur","Realized_Cost_YF_Cur","Total_Cost_YF_Cur","Recent_Value_YF_Cur","Cum_Proceeds_YF_Cur","Total_Value_YF_Cur","FI_Currency","Unrealized_Cost_FI_Cur","Realized_Cost_FI_Cur","Total_Cost_FI_Cur","Recent_Value_FI_Cur","Cum_Proceeds_FI_Cur","Total_Value_FI_Cur","Total_Count","Private_Count","Public_Count","Realized_Count","Write_Off_Count"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 1","2011","31/03/2011","ES","ES","322 Educational and Training Products","314 India","31/03/2015","USD",2120869,0,2120869,2523228,0,2523228,"USD",2120869,0,2120869,2523228,0,2523228,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 2","2011","30/06/2011","SS","SS","313 Electronic Commerce","314 India","31/03/2015","USD",3952844,0,3952844,0,0,0,"USD",3952844,0,3952844,0,0,0,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 3","2011","31/03/2011","SS","SS","11 Communications / Networking (CN)","314 India","31/03/2015","USD",0,386161,386161,0,194003,194003,"USD",0,386161,386161,0,194003,194003,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 4","2011","31/03/2011","SS","SS","11 Communications / Networking (CN)","314 India","31/03/2015","USD",2177606,0,2177606,13675354,0,13675354,"USD",2177606,0,2177606,13675354,0,13675354,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 5","2010","31/03/2010","ES","LS","155 Other Online Services","314 India","31/03/2015","USD",10059917,476609,10536526,496725002,63083596,559808598,"USD",10059917,476609,10536526,496725002,63083596,559808598,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 6","2011","30/06/2011","SS","SS","322 Educational and Training Products","314 India","31/03/2015","USD",1176286,0,1176286,1036782,0,1036782,"USD",1176286,0,1176286,1036782,0,1036782,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 7","2011","31/03/2011","SS","SS","21 Healthcare Services (HS)","314 India","31/03/2015","USD",0,676570,676570,0,1479725,1479725,"USD",0,676570,676570,0,1479725,1479725,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 8","2011","31/03/2011","SS","SS","14 Software (SW)","314 India","31/03/2015","USD",1570842,0,1570842,1502967,0,1502967,"USD",1570842,0,1570842,1502967,0,1502967,"1","1","0","0","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 9","2010","31/12/2010","ES","ES","23 Biopharmaceuticals (BPH)","314 India","31/03/2015","USD",0,480732,480732,0,1018869,1018869,"USD",0,480732,480732,0,1018869,1018869,"1","0","0","1","0"
"Adveq Fund of Funds II","Underlying 1",6.24,"Company 10","2011","31/03/2011","ES","ES","12 Electronics / Computer Hardware (EC)","314 India","31/03/2015","USD",0,1902486,1902486,0,1921923,1921923,"USD",0,1902486,1902486,0,1921923,1921923,"1","0","0","1","0"
